x, y, T, Tex,
0.421875, 0.328125, 0.125401, 0.125388,
0.421875, 0.343750, 0.114984, 0.114972,
0.421875, 0.359375, 0.104290, 0.104279,
0.421875, 0.375000, 0.093345, 0.093335,
0.421875, 0.390625, 0.082175, 0.082166,
0.421875, 0.406250, 0.070807, 0.070799,
0.421875, 0.421875, 0.059268, 0.059262,
0.421875, 0.437500, 0.047587, 0.047582,
0.421875, 0.453125, 0.035791, 0.035787,
0.421875, 0.468750, 0.023908, 0.023906,
0.421875, 0.484375, 0.011969, 0.011967,
0.421875, 0.500000, 0.000000, 0.000000,
0.437500, 0.000000, 0.246119, 0.246094,
0.437500, 0.015625, 0.245823, 0.245797,
0.437500, 0.031250, 0.244934, 0.244909,
0.437500, 0.046875, 0.243455, 0.243430,
0.437500, 0.062500, 0.241390, 0.241365,
0.437500, 0.078125, 0.238743, 0.238719,
0.437500, 0.093750, 0.235521, 0.235497,
0.437500, 0.109375, 0.231732, 0.231708,
0.437500, 0.125000, 0.227384, 0.227361,
0.437500, 0.140625, 0.222489, 0.222466,
0.437500, 0.156250, 0.217058, 0.217035,
0.437500, 0.171875, 0.211103, 0.211082,
0.437500, 0.187500, 0.204640, 0.204619,
0.437500, 0.203125, 0.197685, 0.197664,
0.437500, 0.218750, 0.190253, 0.190233,
0.437500, 0.234375, 0.182362, 0.182343,
0.437500, 0.250000, 0.174032, 0.174015,
0.437500, 0.265625, 0.165283, 0.165266,
0.437500, 0.281250, 0.156136, 0.156120,
0.437500, 0.296875, 0.146613, 0.146598,
0.437500, 0.312500, 0.136736, 0.136722,
0.437500, 0.328125, 0.126530, 0.126517,
0.437500, 0.343750, 0.116020, 0.116008,
0.437500, 0.359375, 0.105229, 0.105219,
0.437500, 0.375000, 0.094186, 0.094176,
0.437500, 0.390625, 0.082915, 0.082906,
0.437500, 0.406250, 0.071445, 0.071437,
0.437500, 0.421875, 0.059802, 0.059796,
0.437500, 0.437500, 0.048015, 0.048011,
0.437500, 0.453125, 0.036113, 0.036109,
0.437500, 0.468750, 0.024124, 0.024121,
0.437500, 0.484375, 0.012076, 0.012075,
0.437500, 0.500000, 0.000000, 0.000000,
0.453125, 0.000000, 0.247828, 0.247803,
0.453125, 0.015625, 0.247530, 0.247504,
0.453125, 0.031250, 0.246635, 0.246609,
0.453125, 0.046875, 0.245146, 0.245121,
0.453125, 0.062500, 0.243066, 0.243041,
0.453125, 0.078125, 0.240401, 0.240376,
0.453125, 0.093750, 0.237157, 0.237132,
0.453125, 0.109375, 0.233341, 0.233317,
0.453125, 0.125000, 0.228963, 0.228940,
0.453125, 0.140625, 0.224034, 0.224011,
0.453125, 0.156250, 0.218565, 0.218543,
0.453125, 0.171875, 0.212569, 0.212547,
0.453125, 0.187500, 0.206062, 0.206040,
0.453125, 0.203125, 0.199057, 0.199037,
0.453125, 0.218750, 0.191574, 0.191554,
0.453125, 0.234375, 0.183629, 0.183610,
0.453125, 0.250000, 0.175241, 0.175223,
0.453125, 0.265625, 0.166431, 0.166414,
0.453125, 0.281250, 0.157221, 0.157204,
0.453125, 0.296875, 0.147631, 0.147616,
0.453125, 0.312500, 0.137686, 0.137672,
0.453125, 0.328125, 0.127409, 0.127396,
0.453125, 0.343750, 0.116825, 0.116813,
0.453125, 0.359375, 0.105960, 0.105949,
0.453125, 0.375000, 0.094840, 0.094830,
0.453125, 0.390625, 0.083491, 0.083482,
0.453125, 0.406250, 0.071941, 0.071933,
0.453125, 0.421875, 0.060217, 0.060211,
0.453125, 0.437500, 0.048349, 0.048344,
0.453125, 0.453125, 0.036364, 0.036360,
0.453125, 0.468750, 0.024291, 0.024289,
0.453125, 0.484375, 0.012160, 0.012159,
0.453125, 0.500000, 0.000000, 0.000000,
0.468750, 0.000000, 0.249049, 0.249023,
0.468750, 0.015625, 0.248749, 0.248723,
0.468750, 0.031250, 0.247850, 0.247824,
0.468750, 0.046875, 0.246353, 0.246328,
0.468750, 0.062500, 0.244264, 0.244239,
0.468750, 0.078125, 0.241585, 0.241561,
0.468750, 0.093750, 0.238325, 0.238301,
0.468750, 0.109375, 0.234491, 0.234467,
0.468750, 0.125000, 0.230091, 0.230068,
0.468750, 0.140625, 0.225138, 0.225115,
0.468750, 0.156250, 0.219642, 0.219619,
0.468750, 0.171875, 0.213616, 0.213595,
0.468750, 0.187500, 0.207077, 0.207055,
0.468750, 0.203125, 0.200038, 0.200018,
0.468750, 0.218750, 0.192518, 0.192498,
0.468750, 0.234375, 0.184533, 0.184514,
0.468750, 0.250000, 0.176104, 0.176086,
0.468750, 0.265625, 0.167251, 0.167234,
0.468750, 0.281250, 0.157995, 0.157979,
0.468750, 0.296875, 0.148358, 0.148343,
0.468750, 0.312500, 0.138364, 0.138350,
0.468750, 0.328125, 0.128037, 0.128024,
0.468750, 0.343750, 0.117401, 0.117389,
0.468750, 0.359375, 0.106482, 0.106471,
0.468750, 0.375000, 0.095307, 0.095297,
0.468750, 0.390625, 0.083902, 0.083893,
0.468750, 0.406250, 0.072295, 0.072288,
0.468750, 0.421875, 0.060514, 0.060508,
0.468750, 0.437500, 0.048587, 0.048582,
0.468750, 0.453125, 0.036543, 0.036539,
0.468750, 0.468750, 0.024411, 0.024409,
0.468750, 0.484375, 0.012220, 0.012219,
0.468750, 0.500000, 0.000000, 0.000000,
0.484375, 0.000000, 0.249782, 0.249756,
0.484375, 0.015625, 0.249481, 0.249455,
0.484375, 0.031250, 0.248579, 0.248553,
0.484375, 0.046875, 0.247078, 0.247053,
0.484375, 0.062500, 0.244982, 0.244957,
0.484375, 0.078125, 0.242296, 0.242271,
0.484375, 0.093750, 0.239026, 0.239001,
0.484375, 0.109375, 0.235180, 0.235156,
0.484375, 0.125000, 0.230768, 0.230744,
0.484375, 0.140625, 0.225800, 0.225777,
0.484375, 0.156250, 0.220288, 0.220265,
0.484375, 0.171875, 0.214245, 0.214223,
0.484375, 0.187500, 0.207686, 0.207664,
0.484375, 0.203125, 0.200626, 0.200606,
0.484375, 0.218750, 0.193084, 0.193064,
0.484375, 0.234375, 0.185076, 0.185057,
0.484375, 0.250000, 0.176622, 0.176604,
0.484375, 0.265625, 0.167743, 0.167726,
0.484375, 0.281250, 0.158460, 0.158443,
0.484375, 0.296875, 0.148795, 0.148779,
0.484375, 0.312500, 0.138771, 0.138757,
0.484375, 0.328125, 0.128413, 0.128400,
0.484375, 0.343750, 0.117746, 0.117734,
0.484375, 0.359375, 0.106795, 0.106784,
0.484375, 0.375000, 0.095587, 0.095577,
0.484375, 0.390625, 0.084149, 0.084140,
0.484375, 0.406250, 0.072508, 0.072500,
0.484375, 0.421875, 0.060692, 0.060686,
0.484375, 0.437500, 0.048730, 0.048725,
0.484375, 0.453125, 0.036651, 0.036647,
0.484375, 0.468750, 0.024483, 0.024480,
0.484375, 0.484375, 0.012256, 0.012255,
0.484375, 0.500000, 0.000000, 0.000000,
0.500000, 0.000000, 0.250026, 0.250000,
0.500000, 0.015625, 0.249725, 0.249699,
0.500000, 0.031250, 0.248822, 0.248796,
0.500000, 0.046875, 0.247320, 0.247294,
0.500000, 0.062500, 0.245222, 0.245196,
0.500000, 0.078125, 0.242533, 0.242508,
0.500000, 0.093750, 0.239260, 0.239235,
0.500000, 0.109375, 0.235410, 0.235386,
0.500000, 0.125000, 0.230994, 0.230970,
0.500000, 0.140625, 0.226021, 0.225997,
0.500000, 0.156250, 0.220503, 0.220480,
0.500000, 0.171875, 0.214454, 0.214432,
0.500000, 0.187500, 0.207889, 0.207867,
0.500000, 0.203125, 0.200823, 0.200802,
0.500000, 0.218750, 0.193272, 0.193253,
0.500000, 0.234375, 0.185257, 0.185238,
0.500000, 0.250000, 0.176795, 0.176777,
0.500000, 0.265625, 0.167907, 0.167890,
0.500000, 0.281250, 0.158615, 0.158598,
0.500000, 0.296875, 0.148940, 0.148925,
0.500000, 0.312500, 0.138907, 0.138893,
0.500000, 0.328125, 0.128539, 0.128526,
0.500000, 0.343750, 0.117861, 0.117849,
0.500000, 0.359375, 0.106900, 0.106889,
0.500000, 0.375000, 0.095681, 0.095671,
0.500000, 0.390625, 0.084231, 0.084222,
0.500000, 0.406250, 0.072579, 0.072571,
0.500000, 0.421875, 0.060751, 0.060745,
0.500000, 0.437500, 0.048778, 0.048773,
0.500000, 0.453125, 0.036686, 0.036683,
0.500000, 0.468750, 0.024507, 0.024504,
0.500000, 0.484375, 0.012268, 0.012267,
0.500000, 0.500000, 0.000000, 0.000000,
0.515625, 0.000000, 0.249782, 0.249756,
0.515625, 0.015625, 0.249481, 0.249455,
0.515625, 0.031250, 0.248579, 0.248553,
0.515625, 0.046875, 0.247078, 0.247053,
0.515625, 0.062500, 0.244982, 0.244957,
0.515625, 0.078125, 0.242296, 0.242271,
0.515625, 0.093750, 0.239026, 0.239001,
0.515625, 0.109375, 0.235180, 0.235156,
0.515625, 0.125000, 0.230768, 0.230744,
0.515625, 0.140625, 0.225800, 0.225777,
0.515625, 0.156250, 0.220288, 0.220265,
0.515625, 0.171875, 0.214245, 0.214223,
0.515625, 0.187500, 0.207686, 0.207664,
0.515625, 0.203125, 0.200626, 0.200606,
0.515625, 0.218750, 0.193084, 0.193064,
0.515625, 0.234375, 0.185076, 0.185057,
0.515625, 0.250000, 0.176622, 0.176604,
0.515625, 0.265625, 0.167743, 0.167726,
0.515625, 0.281250, 0.158460, 0.158443,
0.515625, 0.296875, 0.148795, 0.148779,
0.515625, 0.312500, 0.138771, 0.138757,
0.515625, 0.328125, 0.128413, 0.128400,
0.515625, 0.343750, 0.117746, 0.117734,
0.515625, 0.359375, 0.106795, 0.106784,
0.515625, 0.375000, 0.095587, 0.095577,
0.515625, 0.390625, 0.084149, 0.084140,
0.515625, 0.406250, 0.072508, 0.072500,
0.515625, 0.421875, 0.060692, 0.060686,
0.515625, 0.437500, 0.048730, 0.048725,
0.515625, 0.453125, 0.036651, 0.036647,
0.515625, 0.468750, 0.024483, 0.024480,
0.515625, 0.484375, 0.012256, 0.012255,
0.515625, 0.500000, 0.000000, 0.000000,
0.531250, 0.000000, 0.249049, 0.249023,
0.531250, 0.015625, 0.248749, 0.248723,
0.531250, 0.031250, 0.247850, 0.247824,
0.531250, 0.046875, 0.246353, 0.246328,
0.531250, 0.062500, 0.244264, 0.244239,
0.531250, 0.078125, 0.241585, 0.241561,
0.531250, 0.093750, 0.238325, 0.238301,
0.531250, 0.109375, 0.234491, 0.234467,
0.531250, 0.125000, 0.230091, 0.230068,
0.531250, 0.140625, 0.225138, 0.225115,
0.531250, 0.156250, 0.219642, 0.219619,
0.531250, 0.171875, 0.213616, 0.213595,
0.531250, 0.187500, 0.207077, 0.207055,
0.531250, 0.203125, 0.200038, 0.200018,
0.531250, 0.218750, 0.192518, 0.192498,
0.531250, 0.234375, 0.184533, 0.184514,
0.531250, 0.250000, 0.176104, 0.176086,
0.531250, 0.265625, 0.167251, 0.167234,
0.531250, 0.281250, 0.157995, 0.157979,
0.531250, 0.296875, 0.148358, 0.148343,
0.531250, 0.312500, 0.138364, 0.138350,
0.531250, 0.328125, 0.128037, 0.128024,
0.531250, 0.343750, 0.117401, 0.117389,
0.531250, 0.359375, 0.106482, 0.106471,
0.531250, 0.375000, 0.095307, 0.095297,
0.531250, 0.390625, 0.083902, 0.083893,
0.531250, 0.406250, 0.072295, 0.072288,
0.531250, 0.421875, 0.060514, 0.060508,
0.531250, 0.437500, 0.048587, 0.048582,
0.531250, 0.453125, 0.036543, 0.036539,
0.531250, 0.468750, 0.024411, 0.024409,
0.531250, 0.484375, 0.012220, 0.012219,
0.531250, 0.500000, 0.000000, 0.000000,
0.546875, 0.000000, 0.247828, 0.247803,
0.546875, 0.015625, 0.247530, 0.247504,
0.546875, 0.031250, 0.246635, 0.246609,
0.546875, 0.046875, 0.245146, 0.245121,
0.546875, 0.062500, 0.243066, 0.243041,
0.546875, 0.078125, 0.240401, 0.240376,
0.546875, 0.093750, 0.237157, 0.237132,
0.546875, 0.109375, 0.233341, 0.233317,
0.546875, 0.125000, 0.228963, 0.228940,
0.546875, 0.140625, 0.224034, 0.224011,
0.546875, 0.156250, 0.218565, 0.218543,
0.546875, 0.171875, 0.212569, 0.212547,
0.546875, 0.187500, 0.206062, 0.206040,
0.546875, 0.203125, 0.199057, 0.199037,
0.546875, 0.218750, 0.191574, 0.191554,
0.546875, 0.234375, 0.183629, 0.183610,
0.546875, 0.250000, 0.175241, 0.175223,
0.546875, 0.265625, 0.166431, 0.166414,
0.546875, 0.281250, 0.157221, 0.157204,
0.546875, 0.296875, 0.147631, 0.147616,
0.546875, 0.312500, 0.137686, 0.137672,
0.546875, 0.328125, 0.127409, 0.127396,
0.546875, 0.343750, 0.116825, 0.116813,
0.546875, 0.359375, 0.105960, 0.105949,
0.546875, 0.375000, 0.094840, 0.094830,
0.546875, 0.390625, 0.083491, 0.083482,
0.546875, 0.406250, 0.071941, 0.071933,
0.546875, 0.421875, 0.060217, 0.060211,
0.546875, 0.437500, 0.048349, 0.048344,
0.546875, 0.453125, 0.036364, 0.036360,
0.546875, 0.468750, 0.024291, 0.024289,
0.546875, 0.484375, 0.012160, 0.012159,
0.546875, 0.500000, 0.000000, 0.000000,
0.562500, 0.000000, 0.246119, 0.246094,
0.562500, 0.015625, 0.245823, 0.245797,
0.562500, 0.031250, 0.244934, 0.244909,
0.562500, 0.046875, 0.243455, 0.243430,
0.562500, 0.062500, 0.241390, 0.241365,
0.562500, 0.078125, 0.238743, 0.238719,
0.562500, 0.093750, 0.235521, 0.235497,
0.562500, 0.109375, 0.231732, 0.231708,
0.562500, 0.125000, 0.227384, 0.227361,
0.562500, 0.140625, 0.222489, 0.222466,
0.562500, 0.156250, 0.217058, 0.217035,
0.562500, 0.171875, 0.211103, 0.211082,
0.562500, 0.187500, 0.204640, 0.204619,
0.562500, 0.203125, 0.197685, 0.197664,
0.562500, 0.218750, 0.190253, 0.190233,
0.562500, 0.234375, 0.182362, 0.182343,
0.562500, 0.250000, 0.174032, 0.174015,
0.562500, 0.265625, 0.165283, 0.165266,
0.562500, 0.281250, 0.156136, 0.156120,
0.562500, 0.296875, 0.146613, 0.146598,
0.562500, 0.312500, 0.136736, 0.136722,
0.562500, 0.328125, 0.126530, 0.126517,
0.562500, 0.343750, 0.116020, 0.116008,
0.562500, 0.359375, 0.105229, 0.105219,
0.562500, 0.375000, 0.094186, 0.094176,
0.562500, 0.390625, 0.082915, 0.082906,
0.562500, 0.406250, 0.071445, 0.071437,
0.562500, 0.421875, 0.059802, 0.059796,
0.562500, 0.437500, 0.048015, 0.048011,
0.562500, 0.453125, 0.036113, 0.036109,
0.562500, 0.468750, 0.024124, 0.024121,
0.562500, 0.484375, 0.012076, 0.012075,
0.562500, 0.500000, 0.000000, 0.000000,
0.578125, 0.000000, 0.243921, 0.243896,
0.578125, 0.015625, 0.243628, 0.243603,
0.578125, 0.031250, 0.242747, 0.242722,
0.578125, 0.046875, 0.241281, 0.241257,
0.578125, 0.062500, 0.239235, 0.239210,
0.578125, 0.078125, 0.236611, 0.236587,
0.578125, 0.093750, 0.233418, 0.233394,
0.578125, 0.109375, 0.229663, 0.229639,
0.578125, 0.125000, 0.225354, 0.225331,
0.578125, 0.140625, 0.220502, 0.220480,
0.578125, 0.156250, 0.215120, 0.215097,
0.578125, 0.171875, 0.209218, 0.209197,
0.578125, 0.187500, 0.202813, 0.202793,
0.578125, 0.203125, 0.195920, 0.195899,
0.578125, 0.218750, 0.188554, 0.188535,
0.578125, 0.234375, 0.180734, 0.180715,
0.578125, 0.250000, 0.172479, 0.172461,
0.578125, 0.265625, 0.163808, 0.163791,
0.578125, 0.281250, 0.154742, 0.154726,
0.578125, 0.296875, 0.145304, 0.145289,
0.578125, 0.312500, 0.135516, 0.135502,
0.578125, 0.328125, 0.125401, 0.125388,
0.578125, 0.343750, 0.114984, 0.114972,
0.578125, 0.359375, 0.104290, 0.104279,
0.578125, 0.375000, 0.093345, 0.093335,
0.578125, 0.390625, 0.082175, 0.082166,
0.578125, 0.406250, 0.070807, 0.070799,
0.578125, 0.421875, 0.059268, 0.059262,
0.578125, 0.437500, 0.047587, 0.047582,
0.578125, 0.453125, 0.035791, 0.035787,
0.578125, 0.468750, 0.023908, 0.023906,
0.578125, 0.484375, 0.011969, 0.011967,
0.578125, 0.500000, 0.000000, 0.000000,
0.593750, 0.000000, 0.241236, 0.241211,
0.593750, 0.015625, 0.240945, 0.240920,
0.593750, 0.031250, 0.240074, 0.240049,
0.593750, 0.046875, 0.238625, 0.238600,
0.593750, 0.062500, 0.236600, 0.236576,
0.593750, 0.078125, 0.234006, 0.233982,
0.593750, 0.093750, 0.230848, 0.230824,
0.593750, 0.109375, 0.227134, 0.227111,
0.593750, 0.125000, 0.222873, 0.222850,
0.593750, 0.140625, 0.218074, 0.218052,
0.593750, 0.156250, 0.212751, 0.212729,
0.593750, 0.171875, 0.206915, 0.206894,
0.593750, 0.187500, 0.200580, 0.200560,
0.593750, 0.203125, 0.193762, 0.193742,
0.593750, 0.218750, 0.186478, 0.186459,
0.593750, 0.234375, 0.178744, 0.178726,
0.593750, 0.250000, 0.170579, 0.170562,
0.593750, 0.265625, 0.162004, 0.161987,
0.593750, 0.281250, 0.153038, 0.153023,
0.593750, 0.296875, 0.143704, 0.143689,
0.593750, 0.312500, 0.134023, 0.134010,
